,A83-1002.pdf.txt,D09-1016.pdf.txt,E91-1034.pdf.txt,J06-1006.pdf.txt
plore,0,1,0,0
-c,1,0,0,0
roons,1,0,0,0
explained,0,0,1,0
chomsky’s,0,0,0,1
objections,0,0,0,1
nectivity,1,0,0,0
o£,3,0,0,0
indicated,1,0,0,0
negation,2,0,3,0
svms,0,2,0,0
slots,1,0,0,0
omponent,0,0,2,0
cxists,0,0,1,0
whcre,0,0,1,0
svm,0,15,0,0
concern,0,0,0,1
stands,1,0,1,0
referent,0,0,1,0
all-or-nothing,0,1,0,0
-case,1,0,0,0
indicate,3,2,0,0
attr,4,0,0,0
ibutes,3,0,0,0
yet,2,0,0,1
seem,0,0,0,1
adjec-,1,0,0,0
try,0,1,0,0
tives,2,0,0,0
ional,4,0,0,0
vector,0,2,0,0
modif,2,0,0,0
vapnik,0,2,0,0
iers,1,0,0,0
joachims,0,4,0,0
alternative,1,1,0,1
derived,1,0,0,0
doing,0,1,0,0
tagger,0,1,0,1
sible,1,0,1,0
connection,1,0,1,0
status,2,0,4,0
publicly,0,0,0,1
node,6,0,0,0
assertion,0,0,1,0
svmsmake,0,1,0,0
implication,0,0,1,0
frequently,3,0,0,1
desig,1,0,0,0
karttunen,0,0,2,0
1973,0,0,2,0
boundary,0,1,0,0
hole,0,0,0,1
iderat,1,0,0,0
vectors,0,1,0,0
moves,1,0,0,1
identified,0,2,0,0
mapping-,1,0,0,0
funct,2,0,0,0
presupposition,0,0,4,0
deci-,0,3,0,0
necessitate,1,0,0,0
going,1,0,0,0
back,2,1,0,0
gained,0,0,0,1
unseen,0,1,0,0
test,5,8,0,0
non-negative,0,0,1,0
ntence,0,0,1,0
definite-clause,0,0,0,1
side,1,3,0,0
proposition,0,0,5,0
bound-,0,1,0,0
exists,4,0,4,0
intuitive,0,0,0,1
lap,1,0,0,0
lie,0,1,0,0
inguist,2,0,0,0
recursive,0,0,0,1
descent,0,0,0,1
parsers,3,0,0,1
assigning,1,0,0,0
dog,0,0,0,1
pl,0,0,0,1
signments,0,1,0,0
representat,2,0,0,0
difference,1,0,0,1
whole,1,0,1,0
scores,0,1,0,0
negated,0,0,2,0
exactly,1,0,1,0
represented,5,0,0,0
tree,10,0,0,1
score,0,2,0,0
existence,1,0,6,0
canonical,1,0,0,0
breaks,0,0,0,1
phoneme,0,0,0,1
tak-,1,0,0,0
syllables,0,0,0,1
1-st,0,0,1,0
advantage,1,0,0,0
vcrbs,0,0,1,0
normalize,0,1,0,0
chart,1,0,0,1
minimum,1,1,0,0
search,2,1,0,1
maximum,0,1,0,0
predict,0,0,1,0
deterministic,0,0,0,1
un-,0,0,1,0
produced,0,2,0,0
ambiguously,0,0,1,0
parallel,1,0,0,1
relation,13,0,0,0
instances,1,3,0,0
group-to-group,3,0,0,0
nor-,0,1,0,0
improved,0,1,0,2
inkage,1,0,0,0
malization,0,1,0,0
produces,0,4,0,0
exercises;,0,0,0,1
repro-,0,0,1,0
dealt,1,0,0,0
ntation,0,0,1,0
grammars,2,0,0,4
join,6,0,0,0
rough,0,1,0,0
indicator,0,1,0,0
implement,3,0,0,0
n6mina/tive,0,0,1,0
subjects,0,0,1,0
link,4,0,0,0
hierarchical,5,0,0,0
svm’s,0,1,0,0
recall/precision,0,2,0,0
trade-off,0,2,0,0
wired,1,0,0,0
otnet,0,0,1,0
thresholds,0,2,0,0
npume,0,0,1,0
consulting,0,0,0,1
classifica-,0,1,0,0
otaet,0,0,1,0
ae,0,0,2,0
npame,0,0,1,0
allen,0,0,0,2
1994,0,0,0,2
140,0,0,0,1
faci,1,0,0,0
reasonably,1,2,0,0
presupposed,0,0,2,0
tate,1,0,0,0
hpumea,0,0,1,0
otne,0,0,1,0
writ,1,0,0,0
otneta,0,0,1,0
npnmao,0,0,1,0
incorporation,0,0,0,1
context-free,0,0,0,2
database-speci,1,0,0,0
11,0,0,2,0
subjcct,0,0,1,0
attribute,2,0,0,0
ranging,0,0,0,1
judgments,0,0,0,1
head,2,5,0,0
grammaticality,0,0,0,1
ofnp,0,2,0,0
gradient,0,0,0,1
gets,2,0,0,0
implication;,0,0,1,0
uncertain,1,0,0,1
’s,0,1,0,0
pointer,1,0,0,0
mechanism,1,0,0,1
tags,0,1,0,0
account,1,0,0,1
collocations,0,0,0,1
0caaga,0,0,1,0
bblrla,0,0,1,0
learnability,0,0,0,1
196,1,0,1,0
ocaaok,0,0,1,0
cfg,0,0,0,1
najl,0,0,1,0
10,0,2,1,0
unit,3,0,0,0
3axpy,0,0,2,0
meas-,1,0,0,0
lhehhfi,0,0,1,0
ure,1,0,0,0
automatically,1,3,0,0
so3naxao,0,0,1,0
thenast,0,0,1,0
feet,2,0,0,0
noanngaa,0,0,1,0
meters,2,0,0,0
assigned,0,1,0,0
paahrlrbl,0,0,1,0
binary,0,3,0,0
ycmatpasaerca,0,0,1,0
value,15,1,0,0
paanatta,0,0,1,0
run-t,1,0,0,0
ime,2,0,0,0
yc,0,0,1,0
indicating,0,3,0,0
arpnnaerca,0,0,1,0
map,10,1,0,0
limitations,1,0,0,1
translate,2,0,0,0
absence,1,1,2,0
cfgs,0,0,0,1
tree-structured,1,0,0,0
aggressive,0,0,1,0
stylistic,0,0,1,0
variant,2,0,1,0
named-entity,0,1,0,0
toa,0,0,1,0
newly,1,0,1,0
proaches,0,0,0,1
born,0,0,1,0
tree-adjoining,0,0,0,1
norm,0,0,1,0
group/f,1,0,0,0
freely,0,2,0,0
data-oriented,0,0,0,1
stanford,0,1,0,1
oronopeaaoc,0,0,1,0
ner,0,2,0,0
rb,0,0,1,0
oc,0,0,1,0
rllrrlyta,0,0,1,0
co,4,0,0,0
pre-trained,0,1,0,0
say,0,0,1,0
roroaopenhocra,0,0,1,0
provide,1,0,0,1
lloc,0,0,1,0
rnrnyto,0,0,1,0
person,0,2,0,0
location,1,2,0,0
syntac-,0,1,0,0
vision,0,0,4,1
sundance/autoslog,0,2,0,0
observer,0,0,4,0
cocke-,1,0,0,0
kasami-younger,1,0,0,0
phillips,1,5,0,0
sundance,0,2,0,0
classical,1,0,0,0
shallow,0,1,0,0
nonpredict,1,0,0,0
bottom-up,1,1,0,0
adequately,1,0,0,1
heads,0,1,0,0
fulfills,0,0,0,1
family,1,0,0,0
dictio-,0,2,0,0
naries,0,1,0,0
developed,3,0,0,0
kay,1,0,0,0
earley,1,0,0,0
respon-,0,0,1,0
others,3,0,0,0
autoslog,0,2,0,0
\[aho72\],2,0,0,0
pattern,6,3,0,0
due,1,2,0,1
lexico-syntactic,0,1,0,0
arbitrary,1,0,0,0
unable,0,0,0,1
context-,1,0,0,0
contrary,0,0,1,0
delve,0,0,0,1
deeply,0,0,0,1
restr,1,0,0,0
mitigated,0,0,0,1
left-recursion,1,0,0,0
i!,0,0,1,0
expresses,0,0,1,0
presup-,0,0,1,0
is-,1,0,0,0
tics,1,1,0,0
sometimes,1,1,0,0
bogged,0,1,0,0
cause,3,0,0,0
down,0,1,0,0
diff,8,0,0,0
iculty,1,0,0,0
men-,0,0,1,0
interest,0,0,0,1
reduced,0,1,0,0
parses,2,0,0,0
size,0,1,0,0
13,1,1,1,0
discarding,0,1,0,0
epenna,0,0,1,0
appeared,0,1,0,0
xa,0,0,2,0
epena,0,0,1,0
nxzxa,0,0,1,0
q,0,0,2,0
nonterminal-,1,0,0,0
bngna,0,0,1,0
;aepe11ha,0,0,1,0
terminal-symbol,1,0,0,0
epesaa,0,0,1,0
!i11/11to,0,0,1,0
conferences,0,0,0,1
journals,0,0,0,1
geni-,0,0,2,0
tive,1,2,2,0
precise,1,0,0,0
bird,0,0,0,2
except,3,2,0,0
refers,2,0,0,0
composite,1,0,0,0
operation,2,0,0,0
internet,0,0,0,1
disc,0,0,0,2
1999;,0,0,0,1
hunt,0,0,0,2
1997;,0,0,0,1
jamieson,0,0,0,2
2002;,0,0,0,1
kita,0,0,0,2
sentence-level,0,1,0,0
krauwer,0,0,0,2
ambigui-,1,0,0,0
2005;,0,0,0,2
length,1,2,0,0
bag,0,2,0,0
conversational,0,0,1,0
picone,0,0,0,2
implicature,0,0,2,0
additionally,0,1,0,1
tense,0,2,0,0
doubt,0,0,2,0
aimed,0,0,0,1
partial,3,0,0,0
non-terminal,1,0,0,0
mathematics,0,0,0,1
symbol,1,0,0,0
derives,1,0,0,0
substring,2,0,0,0
greater,1,1,0,0
casts,0,0,1,0
35,0,6,0,0
spans,1,0,0,0
entire,1,1,0,0
shorter,0,1,0,0
complete,1,1,0,0
parse,1,0,0,0
impends,0,0,1,0
itself,2,1,1,0
analyses,2,0,0,0
errors,1,0,0,1
regions,1,2,0,0
occupy,0,0,1,0
easily,2,0,0,1
confuse,0,0,0,1
speaker,0,0,2,0
mind,0,0,1,0
easy,3,0,0,0
particularly,0,0,0,1
perceived,0,0,1,0
speed,1,0,0,0
storage,1,0,0,0
siderations,1,0,0,0
quibbles,0,0,0,1
builds,0,0,0,1
widely,1,0,0,0
qyllcrnyetc,0,0,1,0
compilers,1,0,0,0
persons,0,0,1,0
desires,0,0,0,1
oc-,0,0,1,0
cupy,0,0,1,0
fre-,0,1,0,0
quency,0,1,0,0
places,0,0,1,0
impact,0,0,0,1
cutoff,0,1,0,0
eliminate,0,1,0,0
felt,0,0,0,1
arise,0,0,1,0
pear,0,3,0,0
stating,0,0,1,0
come,0,0,0,1
14,0,0,1,0
mama,0,0,1,0
education,1,0,0,1
bh/iho,0,0,1,0
<a,0,0,1,0
ecb>,0,0,1,0
call,1,0,1,0
symbols,2,0,0,0
evaluated,0,5,0,0
masha,0,0,1,0
pressing,0,0,0,1
performance,0,6,0,0
lying,1,0,0,0
tences,0,0,1,0
muc-4,0,21,0,0
wonderful,0,0,0,1
terrorism,0,4,0,0
sund-,0,1,0,0
154,0,1,0,0
heim,0,1,0,0
1992,0,3,0,0
characterize,1,0,1,0
combined,1,0,0,0
promed,0,15,0,0
spec,2,0,0,0
disease,0,9,0,0
james,0,0,0,1
outbreaks,0,3,0,0
cor-,0,1,0,0
pus,0,1,0,0
verbs;,0,0,1,0
moreover,1,0,1,0
benjamin/cummings,0,0,0,1
2007;,0,1,0,0
publishing,1,0,0,1
company,8,0,0,1
inc,2,0,0,2
redwood,0,0,0,1
organ,1,0,0,0
ized,1,0,0,0
conditions,1,1,1,0
steven,0,0,0,2
sys-,4,3,0,0
tem,5,0,0,0
standard,0,1,0,0
anthology,0,0,0,1
benchmark,0,1,0,0
archive,0,0,0,1
news,0,1,0,0
inspite,0,0,1,0
pair,1,0,0,0
stories,0,1,0,0
constituents,1,0,0,0
ter-,0,1,0,0
rorist,0,1,0,0
ldc,0,0,0,1
belongs,0,1,1,0
upenn,0,0,0,1
1700,0,1,0,0
edu/,0,0,0,2
ceptua,1,0,0,0
divided,0,1,0,0
1999,0,0,0,1
1300,0,5,0,0
dev,0,2,0,0
100,0,6,0,0
factors,0,0,1,0
tst1,0,1,0,0
synthesis,0,0,0,2
tst2,0,1,0,0
tst3,0,1,0,0
babby,0,0,1,0
degree,1,0,0,0
1980,3,0,1,0
tst4,0,1,0,0
unless,3,2,0,0
sensit,2,0,0,0
otherwise,0,1,0,0
ivity,1,0,0,0
animate,0,0,1,0
www,0,0,0,3
disc2,0,0,0,1
inanimate,0,0,1,0
dk/tools/sgsurvey,0,0,0,1
subject;,0,0,1,0
html,0,0,0,3
attaching,1,0,0,0
referentiality,0,0,1,0
andrew,0,0,0,1
training/test,0,1,0,0
non-referentiality,0,0,1,0
1997,0,0,0,1
comps?peech,0,0,0,1
pred,1,0,0,0
ject;,0,0,1,0
icates,1,0,0,0
vious,1,1,0,0
topic-focus,0,0,1,0
fife,0,0,0,1
articulation,0,0,1,0
lock,1,0,0,0
cmu,0,0,0,1
edu/comp,0,0,0,1
non-,0,0,1,0
speech/,0,0,0,1
sentence;,0,0,1,0
leah,0,0,0,1
200,0,2,0,0
certain,5,0,0,0
2002,0,0,0,1
tst1+tst2,0,1,0,0
tuning,0,1,0,0
ee649,0,0,0,1
hold,1,0,0,0
lectures,0,0,0,1
true,2,0,0,0
recapitulate,0,0,1,0
tst3+tst4,0,1,0,0
shay,0,0,0,1
blind,0,1,0,0
ecn,0,0,0,2
edu/ee649/,0,0,0,1
demand,1,0,0,0
notes/,0,0,0,1
kenji,0,0,0,1
www-a2k,0,0,0,1
reso,1,0,0,0
tor,0,1,0,0
lve,2,0,0,0
individuals,0,1,0,0
tokushima-u,0,0,0,1
perpetrator,0,1,0,0
ac,0,0,0,1
ambiguities,1,0,0,0
organizations,0,2,0,0
jp/member/kita/nlp/,0,0,0,1
physi-,0,1,0,0
robustness,1,0,0,0
io,2,0,2,0
\]l,0,0,1,0
elsnet,0,0,0,1
rlekchqecxasl,0,0,1,0
org/toolslist,0,0,0,1
insensitive,1,0,0,0
120,0,4,0,0
cemahthka,0,0,2,0
ffayi,0,0,1,0
chin-hui,0,0,0,1
phrasing,1,0,0,0
fffi-97k-,0,0,1,0
variations,1,0,0,0
promed-mail2,0,1,0,0
nsf,0,0,0,1
boi,0,0,1,0
y__,0,0,1,0
explicit,2,0,0,0
cliabckhfi,0,0,1,0
electronic,0,1,0,0
accounted,1,0,0,0
reporting,1,1,0,0
__m,0,0,1,0
homiahit,0,0,1,0
ece,0,0,0,1
jldi,0,0,1,0
gatech,0,0,0,1
edu/chl/ngasr03/,0,0,0,1
--,1,0,1,0
diseases,0,2,0,0
__,0,0,1,0
christopher,0,0,0,1
nsacrrh,0,0,1,0
paired,0,1,0,0
-b6,0,0,1,0
converts,4,0,0,0
cn,0,0,1,0
eq,0,0,1,0
out-,2,0,0,0
erm,0,0,1,0
meta-index,0,0,0,1
put,2,0,0,0
www-nlp,0,0,0,1
templates,0,2,0,0
cucrem,0,0,1,0
9tah-2,0,0,1,0
oth-,0,1,0,0
links/,0,0,0,1
erwise,0,1,0,0
hayxa,0,0,3,0
apy,0,0,1,0
m_,0,0,1,0
joseph,0,0,0,1
_oaa,0,0,1,0
/i,0,0,1,0
oakr,0,0,1,0
co6,0,0,1,0
rne,0,0,1,0
cavs,0,0,0,1
otteaxa,0,0,1,0
msstate,0,0,0,1
5-fold,0,3,0,0
edu/hse/ies/,0,0,0,1
cross,0,1,0,0
hayka,0,0,1,0
projects/speech/,0,0,0,1
validation,0,1,0,0
be___,0,0,1,0
lawrence,0,0,0,2
onur,0,0,1,0
cemanrxqecxofi,0,0,1,0
teopha,0,0,1,0
tutorial,0,0,0,1
hosoe,0,0,1,0
victims3,0,1,0,0
unlike,0,1,0,0
3apy6exnofi,0,0,1,0
aanns,0,0,1,0
crnxe,0,0,1,0
hporpecc,0,0,1,0
ieee,0,0,0,1
77,0,3,0,1
50-176,0,0,1,0
3a,0,0,1,0
257–286,0,0,0,1
collections,0,1,0,0
naan,0,0,1,0
k,3,0,3,0
biing-hwang,0,0,0,1
fpammataqecxhfl,0,0,1,0
cjlobapb,0,0,1,0
yccxoro,0,0,1,0
fundamentals,0,0,0,1
sla,0,0,1,0
caosonzmeaeahe,0,0,1,0
half,0,1,0,0
prentice-hall,1,0,0,1
upper,2,0,0,1
saddle,0,0,0,1
arti-,0,1,0,0
nhanax,0,0,1,0
river,0,0,0,1
cles,0,1,0,0
aa,0,0,1,0
nj,0,0,0,1
141,0,0,0,1
fields,11,0,0,0
la___,0,0,1,0
y_qe,0,0,1,0
incident4,0,1,0,0
ba__e,0,0,1,0
loa,0,0,1,0
80,0,4,0,0
em,0,0,1,0
otpht,0,0,1,0
joined,0,0,0,1
ahh,0,0,1,0
chhtakchc,0,0,1,0
faculty,0,0,0,1
articles,0,1,0,0
hjih,0,0,1,0
nparmataxa?,0,0,1,0
ease,0,1,0,0
hth,0,0,1,0
cep,0,0,1,0
she,0,0,0,2
holds,0,0,0,1
keys,0,10,0,0
kpujlon,0,0,1,0
c_,0,0,1,0
rank,0,0,0,1
professor,0,0,0,1
crpyktype/1okymehtailbhofi,0,0,1,0
i/ii,0,0,1,0
empty,0,1,0,0
fro,0,0,1,0
pyccxo,0,0,1,0
electrical,0,0,0,1
jiekchkojiophh,0,0,1,0
tokens,1,0,0,0
es-,0,1,0,0
pecially,0,1,0,0
tezac,0,0,1,0
susceptible,0,1,0,0
recently,0,0,0,2
koh0e\,0,0,1,0
finished,0,0,0,1
false,0,3,0,0
[,0,0,1,0
hits,0,3,0,0
slightly,0,0,0,1
group-,2,0,0,0
hh,0,0,1,0
field-,1,0,0,0
mamhmmmy,0,0,1,0
0oh,0,0,1,0
pyccxoro,0,0,1,0
az,0,0,1,0
axa,0,0,1,0
director,0,0,0,1
connectivity,2,0,0,0
lqa,0,0,1,0
communication,0,0,0,2
concept-to-,1,0,0,0
cemahthqecko,0,0,1,0
linkage,1,0,0,0
acchoaxauha,0,0,1,0
national,2,2,0,1
bpemehhbix,0,0,1,0
\[ffrepmhhahtob,0,0,1,0
foundation,0,0,0,1
npe,0,0,1,0
template,0,4,0,0
per,0,3,0,0
kehha,0,0,1,0
to-field,1,0,0,0
kh,0,0,1,0
3bik,0,0,1,0
chctema,0,0,1,0
nat-,0,0,0,1
connec-,1,0,0,0
ural,0,0,0,1
oyhk,0,0,1,0
hohhponahhe,0,0,1,0
ple,3,2,0,0
multimodal,0,0,0,1
ila_,0,0,1,0
focuses,0,1,0,1
nlyqena,0,0,1,0
accurately,0,1,0,0
buno,0,0,1,0
tracting,0,1,0,0
ttma,0,0,1,0
cnoco6hoctb,0,0,1,0
ho,0,0,1,0
i\[qhhtiitb,0,0,1,0
koc11ehhia/h,0,0,1,0
bonpoc,0,0,1,0
h3,0,0,1,0
cemahthki!,0,0,1,0
tem-,1,1,0,0
caoaa,0,0,1,0
incorporating,0,0,0,1
plate,0,1,0,0
multiple,1,1,0,1
3sanae,0,0,1,0
rahenhe,0,0,1,0
prosodic,0,0,0,1
concerned,1,1,0,0
33-46,1,0,1,0
coreference,0,2,0,0
resolution,1,2,0,0
visual,0,0,0,1
traversed,1,0,0,0
bottom,2,0,0,0
-abulary,0,0,1,0
center,0,0,0,1
hague,0,0,2,0
1966,0,0,2,0
advanced,0,0,0,1
dahl,0,0,1,0
study,2,1,0,1
periments,0,1,0,0
grcn,0,0,1,0
kind,0,1,1,0
maryland,1,0,0,1
tyl,0,0,1,0
college,2,0,0,1
es,0,0,1,0
park,2,1,0,1
individually,0,1,0,0
md,1,0,0,1
20742-0025;,0,0,0,1
e-mail,0,0,0,1
e-pr-esentat--,0,0,1,0
ion_-in,0,0,1,0
scoring,0,1,0,0
11-th,0,0,1,0
internatmnal,0,0,1,0
mharper,0,0,0,1
casl,0,0,0,1
umd,0,0,0,1
edu;,0,0,0,1
url,0,0,0,1
coling-1986,0,0,1,0
yara,0,0,0,1
bonn,0,0,2,0
edu/?harper,0,0,0,1
142,0,0,0,1
,0,0,0,0
216-,0,0,1,0
mapped,2,0,0,0
221,0,0,1,0
la,7,1,1,0
iogique,0,0,1,0
gradual,1,0,0,0
des,0,0,1,0
2http,0,1,0,0
anglaises,0,0,1,0
//www,0,1,0,0
promedmail,0,1,0,0
c0mple-na,0,0,1,0
org,0,1,0,0
predicatif,0,0,1,0
3the,0,1,0,0
“victims”,0,1,0,0
animals,0,1,0,0
plants,0,1,0,0
36-80,0,0,1,0
4with,0,1,0,0
1paducheva,0,0,1,0
incidents,7,1,0,0
resfrietions,0,0,1,0
sundheim,0,2,0,0
sifications,0,0,1,0
5pronouns,0,1,0,0
discarded,0,1,0,0
pre-connected,1,0,0,0
coling-90,0,0,1,0
ree,2,0,0,0
13-th,0,0,1,0
international,0,6,1,0
removal,1,0,0,0
res-,0,1,0,0
helsinki,0,0,1,0
olution,0,1,0,0
1990,0,0,1,0
duplicate,2,1,0,0
telling,0,0,1,0
pragmatics,0,0,1,0
dordrecht,0,0,1,0
document,0,4,0,0
reidel,0,0,1,0
conflated,0,1,0,0
be-,0,1,0,0
fore,0,1,0,0
explorations,0,0,1,0
scored,0,1,0,0
reated,1,0,0,0
count,1,1,0,0
te,3,0,0,0
sebe0k-,0,0,1,0
trends,0,0,1,0
miss,0,1,0,0
linguisti,0,0,1,0
baselines,0,8,0,0
1ii,0,0,1,0
lds,1,0,0,0
mouton,0,0,1,0
395-477,0,0,1,0
compar-,0,1,0,0
ruc,2,0,0,0
isons,0,1,0,0
primitives,0,0,1,0
re,7,0,0,0
frankfurt/m,0,0,1,0
lec,2,0,0,0
iii,1,0,1,0
ts,1,0,0,0
n-aiim,0,0,1,0
baseline,0,18,0,0
autoslog-ts,0,7,0,0
amster-,0,0,1,0
ffam,0,0,1,0
ei,0,0,1,0
--jo-0tm,0,0,1,0
weakly-supervised,0,1,0,0
benjamins,0,0,1,0
197-,0,0,1,0
traverses,1,0,0,0
avail-,1,1,0,0
erates,1,0,0,0
statement,1,1,0,0
event-based,0,2,0,0
keywords,1,0,0,0
plied,0,1,0,0
investigated,1,0,0,0
breaking,1,0,0,0
base-,0,3,0,0
parts,1,0,0,0
trained,0,13,0,0
analogous,0,1,0,0
calls,2,0,0,0
ceptual,1,0,0,0
schema,3,0,0,0
conse-,0,2,0,0
quently,0,2,0,0
re-arrange,1,0,0,0
akin,0,1,0,0
tra-,0,1,0,0
ditional,0,1,0,0
supervised,0,2,0,0
learning-based,0,2,0,0
classi-,0,1,0,0
fier,0,1,0,0
translators,2,0,0,0
formula,0,1,0,0
trans,1,0,0,0
access-path,1,0,0,0
quel,3,0,0,0
weka,0,3,0,0
witten,0,4,0,0
frank,0,4,0,0
ingres,7,0,0,0
\[stony6\],1,0,0,0
jersey,0,3,0,0
february,2,2,0,0
26,0,4,0,0
ebola,0,2,0,0
confirmed,0,1,0,0
mercer,0,2,0,0
world-wide,1,0,0,0
county,0,2,0,0
wwdms,9,0,0,0
teenage,0,2,0,0
\[hone76\],2,0,0,0
boys,0,2,0,0
department,1,0,0,0
contracted,0,1,0,0
defense,1,0,0,0
deadly,0,1,0,0
virus,0,1,0,0
handles,2,0,0,0
unknown,0,1,0,0
path,1,0,0,0
informa-,2,3,0,0
cdc,0,1,0,0
investigating,0,1,0,0
taking,0,1,0,0
cult,2,0,0,0
measures,0,1,0,0
prevent,0,1,0,0
spread,0,1,0,0
highly,1,0,0,0
procedural,3,0,0,0
sent,1,0,0,0
submitted,1,0,0,0
direct,3,0,0,0
annotated,0,2,0,0
pdp-ii/70,1,0,0,0
testing,1,0,0,0
train,0,2,0,0
pdp-,1,0,0,0
11/70,2,0,0,0
honeywell,3,0,0,0
h6000,1,0,0,0
descript,1,0,0,0
positive,0,3,0,0
appli-,2,0,0,0
noisy,0,3,0,0
cation,4,0,0,0
metro,11,0,0,0
monitoring,1,0,0,0
155,0,1,0,0
perpind,0,5,0,0
shipping,2,0,0,0
perporg,0,3,0,0
transac-,2,0,0,0
victim,0,12,0,0
weapon,0,5,0,0
companies,11,0,0,0
metropolis,1,0,0,0
located,1,0,0,0
neighbor-,1,0,0,0
33,0,7,0,0
hoods,1,0,0,0
49,0,13,0,0
40,0,9,0,0
52,0,9,0,0
rents,1,0,0,0
warehouse,3,0,0,0
41,0,15,0,0
space,1,0,0,0
54,0,8,0,0
59,0,5,0,0
shipping/recelving,1,0,0,0
56,0,12,0,0
51,0,11,0,0
38,0,7,0,0
44,0,14,0,0
ices,2,0,0,0
sem,0,6,0,0
receive,1,0,0,0
48,0,4,0,0
goods,1,0,0,0
43,0,13,0,0
36,0,9,0,0
58,0,8,0,0
45,0,7,0,0
telat,1,0,0,0
46,0,10,0,0
53,0,8,0,0
34,0,6,0,0
navigational,2,0,0,0
stored,12,0,0,0
records,10,0,0,0
00,0,4,0,0
05,0,2,0,0
predefined,1,0,0,0
root,2,0,0,0
70,0,4,0,0
25,0,2,0,0
31,0,7,0,0
42,0,7,0,0
04,0,2,0,0
07,0,1,0,0
17,0,1,0,0
15,1,1,0,0
24,0,1,0,0
67,0,2,0,0
75,0,2,0,0
23,0,2,0,0
02,0,1,0,0
airep,7,0,0,0
adp,1,0,0,0
60,0,3,0,0
hardware,1,0,0,0
failures,1,0,0,0
47,0,8,0,0
20,1,1,0,0
active,5,0,0,0
73,0,3,0,0
29,1,1,0,0
maintained,1,0,0,0
solved,2,0,0,0
moved,1,0,0,0
lem,1,0,0,0
\[s,1,0,0,0
reported,2,3,0,0
once,1,0,0,0
undesirable,0,1,0,0
abbre-,1,0,0,0
viated,1,0,0,0
record,8,0,0,0
“man”,0,3,0,0
addit,2,0,0,0
report,6,3,0,0
vic-,0,1,0,0
tim,0,1,0,0
dupl,2,0,0,0
icate,2,0,0,0
sites,1,0,0,0
solu-,1,0,0,0
applicant,12,0,0,0
pletely,1,1,0,0
tional,3,1,0,0
metrics,0,1,0,0
exper-,0,1,0,0
iments,0,1,0,0
job,3,1,0,0
precision,0,8,0,0
applicants,7,0,0,0
recall,0,7,0,0
backgrounds,1,0,0,0
f-score,0,3,0,0
central,1,0,0,0
equally,0,1,0,0
weighted,0,1,0,0
icant,2,0,0,0
specialties,1,0,0,0
thresh-,0,1,0,0
employ-,1,0,0,0
distinguishing,0,1,0,0
nega-,1,1,0,0
classes,0,2,0,0
dif,8,0,0,0
chat,2,0,0,0
sifier,0,2,0,0
real-world,1,0,0,0
entit,6,0,0,0
tems,2,3,0,0
coming,1,0,0,0
open-ended,1,0,0,0
comparably,0,1,0,0
domains,3,0,0,0
threshold,0,4,0,0
reach,0,1,0,0
comparable,0,2,0,0
success,1,0,0,0
numbers,0,2,0,0
board,0,1,0,0
corpora,0,1,0,0
challenging,0,1,0,0
mini-,1,0,0,0
re-,0,4,0,0
sults,0,2,0,0
dec,1,0,0,0
suggest,0,1,0,0
pdp,1,0,0,0
competitive,0,1,0,0
analyzed,1,0,0,0
translated,2,0,0,0
fifteen,1,0,0,0
seconds,1,0,0,0
grammatica,1,0,0,0
compares,0,1,0,0
incorrect,2,0,0,0
spel-,2,0,0,0
ling,2,0,0,0
corrector,2,0,0,0
quality,0,2,0,0
strips,1,0,0,0
inf,1,0,0,0
ings,3,3,0,0
tential,0,2,0,0
inflected,1,0,0,0
expl,2,0,0,0
icit,1,0,0,0
core,0,1,0,0
contributions,0,1,0,0
replace,1,0,0,0
dic,1,0,0,0
accommodate,1,0,0,0
personal,1,0,0,0
jargon,1,0,0,0
expressabi,1,0,0,0
administrator,1,0,0,0
define,3,2,0,0
profi,1,0,0,0
les,2,0,0,0
decide,1,1,0,0
imited,2,0,0,0
muc-,0,1,0,0
ideally,0,1,0,0
strategy,2,1,0,0
operate,0,1,0,0
independently,0,1,0,0
paraphrase,1,0,0,0
recognit,1,0,0,0
perpetrators,0,1,0,0
complicat,1,0,0,0
ship,6,0,0,0
locations,0,1,0,0
vessel,1,0,0,0
send,1,0,0,0
iden-,0,1,0,0
tify,0,1,0,0
mult,1,0,0,0
iple,1,0,0,0
ini,1,0,0,0
york,4,2,0,0
explored,0,1,0,0
despite,1,0,0,0
imita-,1,0,0,0
judgements,0,2,0,0
annotation,0,3,0,0
argued,0,1,0,0
appropriately,1,0,0,0
logical,5,0,0,0
ands,2,0,0,0
ors,1,0,0,0
vice-versa,1,0,0,0
circumstances,1,0,0,0
calculat,3,0,0,0
average,4,0,0,0
user-defined,1,0,0,0
marine,1,0,0,0
great-c,1,0,0,0
irc,1,0,0,0
le,10,0,0,0
tance,1,0,0,0
user-function,1,0,0,0
annotations,0,16,0,0
supported,3,1,0,0
involving,1,0,0,0
alterna-,0,1,0,0
comparisons,1,0,0,0
humans,0,1,0,0
j123,1,0,0,0
chal-,0,1,0,0
lenging,0,1,0,0
point,2,0,0,0
interval,1,0,0,0
consensus,0,1,0,0
measure,1,0,0,0
6a,0,1,0,0
ter,2,1,0,0
patward-,0,1,0,0
codasyl-type,1,0,0,0
han,0,1,0,0
icult,10,0,0,0
nav,2,0,0,0
igat,2,0,0,0
para,1,0,0,0
